,date,all,F,M,F10s,F30s,F40s,F20s,F19-24,F25-29,M20s,M19-24,M25-29
811,2018-03-22,965.9588240124136,870.928501696,137.57598865877134,89.63742900349999,136.10993124479998,59.286301956,581.0835818685,350.6344840935,230.44909777499998,86.192993754,54.699994530000005,31.492999224
812,2018-03-23,1043.9826784524096,998.1745550479999,162.439029092768,86.79173636840001,171.1898158896,69.16735854000001,667.3287423485,448.1900434785,219.13869886999998,111.056087502,62.98786503,48.068222471999995
813,2018-03-24,902.2208517413347,869.5146205679999,92.82234979180298,140.8587559057,129.093935064,57.87472244400001,541.4982445420001,377.497674822,164.00056972,61.329366036,31.493907900000004,29.835458136
814,2018-03-25,989.0362581646418,952.931519012,134.26091660090515,167.89230131590003,119.2715981664,45.170506836,619.2586679645,421.3269491745,197.93171879,89.50791609,51.384846329999995,38.12306976
815,2018-03-26,1036.2902004016669,935.9654095,188.9597716414722,88.2145470444,164.17381970879998,71.99051756400002,610.7757474475,418.4992042875,192.27654316,125.973929502,66.30301323,59.670916272
816,2018-03-27,1061.5654359266196,927.482354744,170.72687532320796,95.3286717075,124.8843758592,60.69788146800001,640.465314964,411.430034919,229.035280045,94.480492446,51.384846329999995,43.095646116
817,2018-03-28,918.7048817753888,821.444054288,149.17874086130314,99.5971037355,113.65882047359999,56.463142932000004,551.394825717,377.497674822,173.897150895,76.24769509800001,49.727272230000004,26.520422868
818,2018-03-29,954.9694706563778,832.754639288,165.7541011506342,58.33545156530001,120.67476852480002,57.87472244400001,593.8092343185,391.63610998350003,202.17312433499998,96.138438354,64.64543913,31.492999224
819,2018-03-30,843.977556148274,695.611650052,154.15134894810245,59.7582622413,109.4492131392,49.405245372,472.2199432739999,319.52977245899996,152.69017081499996,87.85042191,51.384846329999995,36.46557558
820,2018-03-31,790.1298633006624,752.1655030999999,127.63077248517271,116.67090313060002,91.2076615728,39.524188788000004,503.32564821599993,378.911450841,124.41419737499997,74.589487992,28.178759700000004,46.410728292
821,2018-04-01,880.2421450292627,836.996282672,132.60338057197202,187.81172206300002,78.57893582880001,28.231552692,542.9130138685,407.1884175885,135.72459628000001,84.535419654,53.04242043,31.492999224
822,2018-04-02,862.6593875550526,763.4763201119998,130.9458445430389,73.98644028439999,88.4012727264,43.758927324000005,554.2236852065,414.2576833815,139.96600182499998,76.24772811,51.384846329999995,24.86288178
823,2018-04-03,795.6245399786804,715.4055218199999,132.60338057197202,88.2145470444,98.22365775359998,40.93576830000001,487.7730134645,354.8760049995,132.897008465,79.562763378,51.384846329999995,28.177917048
824,2018-04-04,880.2421450292627,797.4085391360001,121.00046228366584,69.71793697330001,109.4492131392,46.582086348000004,569.7746664235,391.63610998350003,178.13855643999997,76.247761122,53.04242043,23.205340692
825,2018-04-05,959.3650734018271,786.0977221240001,165.7541011506342,110.9796604266,136.10993124479998,59.286301956,479.288821273,315.288251553,164.00056972,107.74053215999999,46.4120748,61.328457359999994
826,2018-04-06,807.712967267285,698.439412308,107.74017405220096,93.90586103150001,85.59488388000001,35.28945025200001,483.531431911,347.806835631,135.72459628000001,49.726460268,23.2060374,26.520422868
827,2018-04-07,729.6887663348767,653.196376272,86.19220567607054,140.8587559057,64.5469434672,36.701029764000005,411.425972333,299.735943948,111.69002838499999,54.699248592000004,31.493907900000004,23.205340692
828,2018-04-08,929.6938886390124,858.204035568,147.52120483237,163.62386928790002,95.4172689072,56.463142932000004,542.912565427,393.049982427,149.862583,102.768362946,59.67271683,43.095646116
829,2018-04-09,945.0791912329103,822.8577034039998,137.57598865877134,92.48305035550001,127.69076470559999,63.52104049200001,538.670499655,374.66992993499997,164.00056972,91.16482417200001,31.493907900000004,59.670916272
830,2018-04-10,957.1672720291023,836.996282672,162.439029092768,89.63742900349999,122.0779870128,49.405245372,575.4294542595001,380.32532328450003,195.104130975,92.823177222,58.01514273,34.808034492
831,2018-04-11,894.5283736905922,835.582401544,152.49381291916933,68.29512629730002,141.7227089376,60.69788146800001,564.1187829215,373.25605749150003,190.86272542999998,92.82321023399999,59.67271683,33.150493403999995
832,2018-04-12,976.9478308760373,903.4470716039999,174.04194738107418,68.29512629730002,159.964260504,97.39891123200002,571.1879333535,376.08380237849997,195.104130975,101.110642902,53.04242043,48.068222471999995
833,2018-04-13,820.9001219960458,746.5102106,164.0965651217011,86.79173636840001,115.06199083199999,53.639983908,486.3591957345,354.8760049995,131.483190735,119.343779046,64.64543913,54.698339915999995
834,2018-04-14,852.7691081315852,822.8577034039998,130.9458445430389,166.46949063990002,89.8044912144,71.99051756400002,494.84068043649995,316.70212399649995,178.13855643999997,77.90496109200001,43.0969266,34.808034492
835,2018-04-15,929.6938886390124,859.617684684,140.89106071663758,160.7782479359,106.6428242928,56.463142932000004,534.4283732355,353.46222898049996,180.96614425500002,91.165603122,56.35756863,34.808034492
836,2018-04-16,909.9133297920774,787.5116032519999,124.31553434153203,139.43594522970002,112.25560198559998,52.228404396,483.53082639750005,330.84065558250006,152.69017081499996,89.50791609,51.384846329999995,38.12306976
837,2018-04-17,913.2102050973709,800.236301392,119.3429262547327,78.2548723124,131.90032391039998,46.582086348000004,542.911197328,356.28987744299997,186.621319885,71.27492356799999,44.754500699999994,26.520422868
838,2018-04-18,916.5067339102517,733.78551246,147.52120483237,71.1407476493,103.8364354464,46.582086348000004,511.8067998375001,330.84065558250006,180.96614425500002,96.13803353399999,51.384846329999995,44.753187204
839,2018-04-19,863.7581149952086,752.1655030999999,129.2883085141058,71.1407476493,155.75465316960003,38.112609276,484.94294294800005,284.18363634300005,200.759306605,74.589958836,44.754500699999994,29.835458136
840,2018-04-20,869.2527916732266,747.924091728,116.0278541968665,102.4427250875,123.4811573712,55.05156342000001,466.56443456349996,309.63285820349995,156.93157636,58.014575748,41.4393525,16.575223248
841,2018-04-21,856.0656369444661,752.1655030999999,97.79495787860229,96.7514823835,79.98210618719999,39.524188788000004,535.8422039679999,356.28987744299997,179.552326525,58.014429804,36.466630200000004,21.547799603999998
842,2018-04-22,806.6138933347163,647.541083772,127.63077248517271,133.7447025257,94.01405041919999,40.93576830000001,377.49257721749996,238.94039312249998,138.552184095,74.590365978,58.01514273,16.575223248
843,2018-04-23,885.7368217072808,698.439412308,122.65799831259895,72.56362960839999,115.06199083199999,49.405245372,460.91007623250005,330.84065558250006,130.06942064999998,53.041787424000006,33.151482,19.890305424
844,2018-04-24,905.517727046628,810.1332372759999,154.15134894810245,105.28834643950002,134.7067127568,49.405245372,518.8766164305,353.46222898049996,165.41438745,79.56242226,41.4393525,38.12306976
845,2018-04-25,843.977556148274,704.094704808,180.67209149680664,82.5233043404,123.4811573712,50.816824884,445.35745448349996,309.63285820349995,135.72459628000001,94.480897266,64.64543913,29.835458136
846,2018-04-26,897.8252489958853,777.6146673679999,149.17874086130314,78.2548723124,157.15787165760003,64.932620004,476.4611728105,312.4606030905,164.00056972,74.589991848,46.4120748,28.177917048
847,2018-04-27,861.560313622484,757.821027612,114.37031816793339,101.0199144115,123.4811573712,59.286301956,473.63375507,318.11599644,155.51775863,62.986907124,31.493907900000004,31.492999224
848,2018-04-28,922.0014105882696,856.7901544399999,147.52120483237,163.62386928790002,152.9482643232,40.93576830000001,499.082413128,325.18526223299995,173.897150895,76.247128116,33.151482,43.095646116
849,2018-04-29,957.1672720291023,920.4131811159999,116.0278541968665,184.96610071100002,110.8523834976,50.816824884,574.016514476,404.360769126,169.65574535,58.01436378,33.151482,24.86288178
850,2018-04-30,920.9026831481136,818.616292032,155.80888497703555,85.3689256924,133.3035423984,49.405245372,544.3253422045,364.7730156795,179.552326525,97.79578659,59.67271683,38.12306976
851,2018-05-01,849.4722328262919,800.236301392,142.54859674557068,68.29512629730002,151.5450939648,53.639983908,525.9466637455,384.5668441905,141.37981955499998,96.13817947800001,56.35756863,39.780610848
852,2018-05-02,942.8810433677731,810.1332372759999,172.3844113521411,102.4427250875,138.9163200912,46.582086348000004,521.705040481,378.911450841,142.79358964,94.480572366,53.04242043,41.438151936000004
853,2018-05-03,1058.2689071137388,814.3746486480001,200.56252384400392,76.8320616364,195.0441451488,46.582086348000004,490.59927489149993,316.70212399649995,173.897150895,127.63220031,91.16662473,36.46557558
854,2018-05-04,1004.4212142661272,646.127202644,164.0965651217011,68.29512629730002,113.65882047359999,38.112609276,425.5637413335,294.0805505985,131.483190735,84.53507853600001,43.0969266,41.438151936000004
855,2018-05-05,828.5926000467884,602.298047736,109.39771008113406,78.2548723124,105.23960580480001,36.701029764000005,381.734085121,240.354265566,141.37981955499998,58.014542735999996,39.7817784,18.232764336
856,2018-05-06,969.2553528252946,661.679431028,129.2883085141058,125.2078384697,88.4012727264,42.347347812,404.3557132325,264.38971140750004,139.96600182499998,72.93253068,48.069648900000004,24.86288178
857,2018-05-07,1024.2021196054748,648.954732888,155.80888497703555,109.55684975060001,92.61088006080001,42.347347812,404.35670654,292.666678155,111.69002838499999,84.53533973399999,51.384846329999995,33.150493403999995
858,2018-05-08,1151.67771765522,668.748604656,177.35701943894043,81.1004936644,92.61088006080001,46.582086348000004,446.7705643415,291.2528057115,155.51775863,82.87791157800001,54.699994530000005,28.177917048
859,2018-05-09,1352.7819138919242,811.547118404,245.31616271097235,83.9461150164,190.8345378144,64.932620004,469.3921377395,313.8743791095,155.51775863,149.179966902,89.50905062999999,59.670916272
860,2018-05-10,1281.3514635701024,746.5102106,253.60400894141233,51.2213269022,150.14187547679998,45.170506836,499.0825891365,332.2544316015,166.828157535,116.029327554,84.53632833,31.492999224
861,2018-05-11,1173.656424367292,745.0963294719999,182.32962752573974,55.4898302133,129.093935064,49.405245372,510.393205761,337.90982495099996,172.48338081,104.426016966,62.98786503,41.438151936000004
